company,quoted,country,industry,operating_revenue_2023,operating_revenue_2022,operating_revenue_2021,operating_revenue_2020,operating_revenue_2019,net_income_2023,net_income_2022,net_income_2021,net_income_2020,net_income_2019,cash_flow_2023,cash_flow_2022,cash_flow_2021,cash_flow_2020,cash_flow_2019,total_assets_2023,total_assets_2022,total_assets_2021,total_assets_2020,total_assets_2019,profit_margin_2023,profit_margin_2022,profit_margin_2021,profit_margin_2020,profit_margin_2019,solvency_ratio_2023,solvency_ratio_2022,solvency_ratio_2021,solvency_ratio_2020,solvency_ratio_2019,cogs_2023,cogs_2022,cogs_2021,cogs_2020,cogs_2019,ebitda_2023,ebitda_2022,ebitda_2021,ebitda_2020,ebitda_2019,cash_2023,cash_2022,cash_2021,cash_2020,cash_2019
SOCIETATEA NATIONALA NUCLEARELECTRICA S.A.,Yes,RO,Electricity,1694.56695553127,1393.67820988043,732.587916966081,630.399866302371,567.363652953967,553.067983169541,595.960819374919,237.041664449573,176.301301960409,125.695412042901,693.632512250975,726.594963196114,365.821036524177,313.656816741407,256.082431397617,2924.83789422092,2544.48756257978,2202.18569705158,2230.01627313763,2067.86805092221,37.317,49.392,37.599,32.61,26.109,89.221,89.314,86.905,85.019,83.247,-75.0355899406224,-154.011781703338,-99.4508891433477,-55.0791701009273,-51.3527987120748,703.911661839455,774.281926704988,403.867344999015,333.175726465881,291.046758105218,796.671350103244,584.24114555949,307.312788258791,137.888797657907,420.930820257872
LECHWERKE AG,Yes,DE,Electricity,1639.76106590462,2500.85795331836,1752.93795446634,1560.39664854646,1686.16251682115,151.414902953148,22.7761654722691,125.951949791908,143.134997782111,157.161392733812,163.346698307991,32.9920553708076,135.036536858082,151.74064516902,215.022102198958,1962.74718585682,1899.12625262201,2041.60039702892,2090.74160316467,2179.36313759458,11.696,2.769,8.935,12.225,11.889,29.933,27.738,31.72,32.857,27.96,-1463.88808197498,-2364.52520672917,-1640.03129501581,-1398.45144560337,-1403.52859442687,219.10833833313,68.9588567143679,109.51225632906,143.117818391919,160.7192000705,0.997815447807312,0.276249267458916,3.5994037771225,1.82469665825367,0.545972328901291
JOINT STOCK COMPANY ENERGOSBYT PLUS,Yes,RU,Electricity,1552.34678704613,1714.3990250298,1568.23930593769,1387.74969282272,1618.5068015352,54.3397834711345,38.8395804077322,28.33898628096,19.0810109549174,5.10476436016336,64.4133378062593,51.3133958803043,36.0487311604042,23.6237497683791,8.92063282236829,320.649748417702,383.957631004546,263.55868203884,242.219085849501,218.303588725932,4.523,2.869,2.334,1.726,0.451,34.448,33.496,31.482,22.684,18.103,-842.912742542827,-1011.36320824075,-944.431478677007,-845.466449952811,-991.631193035802,98.610639743383,81.4248725444768,70.3967949820654,54.5037558645168,40.9088999649622,25.6926589792939,61.7794345720084,71.6018678805353,53.8837549530901,53.4315437135901
PUBLICHNOE AKTSIONERNOE OBSCHESTVO ROSSETI TSENTR I PRIVOLZHE,Yes,RU,Electricity,1499.75968473419,1634.0598891071,1459.50286525258,1330.4594590502,1584.08837036473,156.348357924086,157.028725035056,133.960769558175,87.0263860377157,108.012464665273,296.361129819163,308.791624611036,262.568691124159,202.370216930098,219.119927153043,1874.87183015849,2157.68688500229,1756.33175142124,1600.46683062441,1767.31376635657,14.093,12.51,11.919,8.376,8.925,51.943,48.307,52.581,51.92,50.223,-219.15100633019,-242.191518300941,-213.297714585097,-204.734025395933,-249.034201036699,436.171545339303,444.756806117943,372.480915115356,288.001529851785,363.860271149456,163.148375041249,117.772140897313,5.26481769154686,23.8709487868818,33.2341621522158
ERG SPA,Yes,IT,Electricity,1471.52474040222,2328.1872287637,1407.37593765736,1221.66693083227,1173.26644981253,197.428228603363,404.175076881647,195.823195359707,132.386835018396,35.4466355839968,445.895325112343,704.378035647869,518.71621701479,516.812503544092,379.237322614193,5745.22355338573,5574.45956644118,6799.95556036949,5555.01349226058,5170.79720403802,19.406,22.171,19.459,6.657,5.008,41.154,39.314,26.127,39.049,38.805,-466.178714215279,-1444.30156584144,-447.220822606087,-346.325462377667,-398.478915308476,643.441788768768,594.274037074447,663.617702550888,574.752451165318,556.436798538566,516.662871871948,418.972011582255,974.434939727783,804.445806429982,734.17325959301
INTERREGIONAL DISTRIBUTION GRID COMPANY OF CENTRE PUBLIC JOINT-STOCK COMPANY,Yes,RU,Electricity,1467.57425048399,1656.58552610613,1477.37697360861,1342.48408996184,1563.23305259676,87.8791623837231,68.8837530025626,57.2184974522768,27.763676820117,48.2680125496071,244.229215066142,249.721626670812,240.430093494457,240.511325331906,209.271592971861,1658.56953419091,1987.61409391981,1754.5449920637,1651.37247496198,1903.90330973777,8.377,6.529,5.839,3.341,4.508,40.768,37.801,39.295,39.236,38.914,-301.272673265678,-352.447981253052,-302.917473646048,-260.836859217561,-309.230824777577,337.484005936548,373.933120656206,343.115272088071,294.666915280592,326.457090489652,87.0774524942813,92.4958516988987,25.3261559715886,19.0361788911084,24.5067587161288
PUBLICHNOE AKTSIONERNOE OBSCHESTVO YUNIPRO,Yes,RU,Electricity,1327.16711278465,1512.50588222468,1188.94119781378,1021.55675269636,1302.40446064722,245.771801940642,302.366758816293,110.816620917837,186.119622554409,304.596307923185,476.756458332861,535.985879788426,374.307368869927,301.552400153099,419.853549978646,1853.66315608752,2080.918120486,1715.49056454796,1831.06171494379,2206.39677406897,23.187,24.736,11.652,22.562,28.598,91.726,88.62,85.253,89.113,88.328,-624.882829999818,-692.392248330992,-570.837168702582,-479.215331019008,-586.957893548835,498.468419880186,585.147407898681,412.728839679643,361.345622125771,485.208503423685,559.013772833365,384.964391262746,0.400268662114628,2.60383327122778,49.9716360235047
PUBLICHNOE AKTSIONERNOE OBSCHESTVO ROSSETI LENENERGO,Yes,RU,Electricity,1245.67071132661,1392.9623960364,1278.55012134079,1132.65255603532,1363.14831996067,221.767835843737,282.40575660151,208.002772763147,162.49916209506,193.229305513212,630.659045837801,602.964205396515,500.398835263669,342.773831402868,388.555251635268,2986.79213577569,3626.55429578124,3162.5536445758,2970.88580391092,3464.31957799807,21.878,24.431,20.373,17.817,18.229,68.503,64.994,65.792,66.051,64.522,-164.885970621333,-192.75960810561,-186.018335841896,-165.930588225352,-199.025880183212,596.849297222427,675.263732329776,589.275142092901,445.155172222677,560.268169375151,258.160574554622,212.91460356631,71.0042040565042,25.2558426420456,134.106330924582
ATLANTICA SUSTAINABLE INFRASTRUCTURE PLC,Yes,GB,Electricity,1200.981,1182.811,1286.42,1112.785,1105.226,43.38,-5.443,-30.08,11.968,62.135,461.651,468.195,409.361,420.572,372.89,8714.333,9100.911,9751.93,9938.354,9659.815,3.101,-0.996,1.967,3.752,9.551,18.232,19.658,17.931,17.517,17.752,-35.38,-19.639,-70.69,-7.792,-9.719,760.276,751.331,793.331,781.657,811.204,271.329,393.43,368.381,588.69,223.867
STATNETT SF,No,NO,Electricity,1140.60966074467,2331.94732351601,1634.01355406642,1265.06444607675,1100.79725388438,-257.325472600758,603.346871986985,374.943298868835,316.178186550736,217.084279969335,66.2733544260263,914.705906614661,728.571405664086,652.989432364702,491.00227227062,8879.35122364014,8842.19090390205,9574.37611620128,9716.88134677708,8692.82450162619,-28.983,33.18,29.413,31.693,25.246,26.708,30.944,25.421,22.849,23.3,-50.9341210573912,-33.7728203684092,-13.8321991115808,-121.570923045278,-40.8883822187781,171.484762787819,1166.7343108654,903.061196096241,793.786615177989,621.412293553352,136.87315928936,89.9594344347715,190.589563168585,92.1453669369221,151.138950429857
